"chamber_id","name","area_id"
97,"Diputación del Distrito Federal 2 de BAJA CALIFORNIA",10
98,"Diputación del Distrito Federal 2 de BAJA CALIFORNIA SUR",19
99,"Diputación del Distrito Federal 2 de CAMPECHE",37
100,"Diputación del Distrito Federal 2 de CHIAPAS",55
101,"Diputación del Distrito Federal 2 de CHIHUAHUA",24
102,"Diputación del Distrito Federal 2 de CIUDAD DE MÉXICO",91
103,"Diputación del Distrito Federal 2 de COAHUILA DE ZARAGOZA",42
104,"Diputación del Distrito Federal 2 de COLIMA",34
105,"Diputación del Distrito Federal 2 de DURANGO",106
106,"Diputación del Distrito Federal 2 de ESTADO DE MÉXICO",132
107,"Diputación del Distrito Federal 2 de GUANAJUATO",181
108,"Diputación del Distrito Federal 2 de GUERRERO",165
109,"Diputación del Distrito Federal 2 de HIDALGO",191
110,"Diputación del Distrito Federal 2 de JALISCO",209
111,"Diputación del Distrito Federal 2 de MICHOACÁN DE OCAMPO",224
112,"Diputación del Distrito Federal 2 de MORELOS",234
113,"Diputación del Distrito Federal 2 de NAYARIT",241
114,"Diputación del Distrito Federal 2 de NUEVO LEÓN",249
115,"Diputación del Distrito Federal 2 de OAXACA",260
116,"Diputación del Distrito Federal 2 de PUEBLA",276
117,"Diputación del Distrito Federal 2 de QUERÉTARO",292
118,"Diputación del Distrito Federal 2 de QUINTANA ROO",286
119,"Diputación del Distrito Federal 2 de SAN LUIS POTOSÍ",308
120,"Diputación del Distrito Federal 2 de SINALOA",299
121,"Diputación del Distrito Federal 2 de SONORA",317
122,"Diputación del Distrito Federal 2 de TABASCO",325
123,"Diputación del Distrito Federal 2 de TAMAULIPAS",336
124,"Diputación del Distrito Federal 2 de TLAXCALA",332
125,"Diputación del Distrito Federal 2 de VERACRUZ DE IGNACIO DE LA LLAVE",356
126,"Diputación del Distrito Federal 2 de YUCATÁN",367
127,"Diputación del Distrito Federal 2 de ZACATECAS",373
128,"Diputación del Distrito Federal 20 de CIUDAD DE MÉXICO",92
129,"Diputación del Distrito Federal 20 de ESTADO DE MÉXICO",133
130,"Diputación del Distrito Federal 20 de JALISCO",210
,"Diputación del Distrito Federal 20 de VERACRUZ DE IGNACIO DE LA LLAVE",0
132,"Diputación del Distrito Federal 21 de CIUDAD DE MÉXICO",93
133,"Diputación del Distrito Federal 21 de ESTADO DE MÉXICO",134
134,"Diputación del Distrito Federal 22 de CIUDAD DE MÉXICO",94
135,"Diputación del Distrito Federal 22 de ESTADO DE MÉXICO",135
,"Diputación del Distrito Federal 23 de CIUDAD DE MÉXICO",0
137,"Diputación del Distrito Federal 23 de ESTADO DE MÉXICO",136
,"Diputación del Distrito Federal 24 de CIUDAD DE MÉXICO",0
139,"Diputación del Distrito Federal 24 de ESTADO DE MÉXICO",137
140,"Diputación del Distrito Federal 25 de ESTADO DE MÉXICO",138
141,"Diputación del Distrito Federal 26 de ESTADO DE MÉXICO",139
142,"Diputación del Distrito Federal 27 de ESTADO DE MÉXICO",140
143,"Diputación del Distrito Federal 28 de ESTADO DE MÉXICO",141
