"ID","VALUE","MEANING"
1,"REGIONAL_EXECUTIVE","GOBERNADOR"
2,"NATIONAL_LOWER","DIPUTADO"
3,"LOCAL_EXECUTIVE","PRESIDENTE MUNICIPAL"
0,"NATIONAL_EXEC","PRESIDENTE NACIONAL"
4,"NATIONAL_UPPER","SENADOR NACIONAL"
5,"REGIONAL_LEGISLATIVE","DIPUTACIONES LOCALES"
